t,qw,qx,qy,qz
0.0000000,0.9659409,0.1518760,0.1901744,-0.0878954
0.0200000,0.9650801,0.1600851,0.1988386,-0.0587915
0.0360000,0.9637361,0.1667921,0.2052652,-0.0354865
0.0600000,0.9606498,0.1770255,0.2140412,-0.0005414
0.0800000,0.9571164,0.1856568,0.2205561,0.0285434
0.1000000,0.9527279,0.1943250,0.2263453,0.0575777
0.1240000,0.9463466,0.2047165,0.2323724,0.0923165
0.1440000,0.9400960,0.2133368,0.2367114,0.1211390
0.1600000,0.9344915,0.2201851,0.2397511,0.1440956
0.1800000,0.9267467,0.2286539,0.2430037,0.1726474
0.1960000,0.9199714,0.2353322,0.2451650,0.1953600
0.2160000,0.9107941,0.2435260,0.2473131,0.2235741
0.2320000,0.9028976,0.2499385,0.2485937,0.2459834
0.2520000,0.8923435,0.2577491,0.2496634,0.2737820
0.2760000,0.8786946,0.2667821,0.2501902,0.3068029
0.3000000,0.8639970,0.2753948,0.2499156,0.3394247
0.3160000,0.8536290,0.2808780,0.2493030,0.3609336
0.3360000,0.8400412,0.2874168,0.2480720,0.3875341
0.3600000,0.8228373,0.2947797,0.2459392,0.4189959
0.3760000,0.8108327,0.2993850,0.2441421,0.4396744
0.4000000,0.7920369,0.3058088,0.2409125,0.4702336
0.4200000,0.7756577,0.3107185,0.2377693,0.4952524
0.4480000,0.7515953,0.3169920,0.2328256,0.5295402
0.4720000,0.7298792,0.3217913,0.2281451,0.5582800
0.4920000,0.7110961,0.3253882,0.2239092,0.5816609
0.5080000,0.6956340,0.3279868,0.2203001,0.5999882
0.5240000,0.6797974,0.3303315,0.2164952,0.6179696
0.5480000,0.6553691,0.3333639,0.2104255,0.6442677
0.5680000,0.6344210,0.3354414,0.2050427,0.6655424
0.5840000,0.6173039,0.3368049,0.2005210,0.6821215
0.6000000,0.5999168,0.3379068,0.1957974,0.6982709
0.6160000,0.5822429,0.3387425,0.1908888,0.7140085
0.6320000,0.5642756,0.3393010,0.1858076,0.7293445
0.6480000,0.5460252,0.3395821,0.1805591,0.7442707
0.6680000,0.5228650,0.3395523,0.1737612,0.7623146
0.6920000,0.4945413,0.3389413,0.1652867,0.7830887
0.7120000,0.4705048,0.3379417,0.1579797,0.7996643
0.7320000,0.4461107,0.3364950,0.1504516,0.8155493
0.7520000,0.4213823,0.3346042,0.1427122,0.8307287
0.7720000,0.3963150,0.3322682,0.1347932,0.8452000
0.7920000,0.3709255,0.3294969,0.1267096,0.8589475
0.8120000,0.3452152,0.3263560,0.1184793,0.8719409
0.8360000,0.3139599,0.3221559,0.1084226,0.8865040
0.8560000,0.2876082,0.3182819,0.0998983,0.8977742
0.8800000,0.2556053,0.3131585,0.0895222,0.9102656
0.8960000,0.2340992,0.3094431,0.0825082,0.9179515
0.9120000,0.2124802,0.3054835,0.0754200,0.9251183
0.9320000,0.1853206,0.3001856,0.0664625,0.9333422
0.9480000,0.1634861,0.2956615,0.0592276,0.9393342
0.9720000,0.1306321,0.2883886,0.0482646,0.9473319
0.9960000,0.0977554,0.2805383,0.0371724,0.9541281
1.0160000,0.0703083,0.2735397,0.0278642,0.9588829
1.0360000,0.0428538,0.2661192,0.0185124,0.9628091
1.0520000,0.0209172,0.2598747,0.0110097,0.9653530
1.0720000,0.0064551,-0.2516770,-0.0016238,-0.9677884
1.0920000,0.0337710,-0.2430374,0.0077460,-0.9693979
1.1160000,0.0663267,-0.2320843,0.0189719,-0.9702462
1.1320000,0.0878985,-0.2244398,0.0264208,-0.9701559
1.1520000,0.1147234,-0.2145601,0.0356940,-0.9692928
1.1720000,0.1413750,-0.2043356,0.0449140,-0.9675964
1.1920000,0.1678362,-0.1937593,0.0540508,-0.9650735
1.2120000,0.1940936,-0.1828246,0.0630680,-0.9617304
1.2360000,0.2252478,-0.1692224,0.0736933,-0.9566590
1.2520000,0.2458045,-0.1598651,0.0806281,-0.9526397
1.2720000,0.2712659,-0.1478540,0.0890953,-0.9468981
1.2880000,0.2914308,-0.1379979,0.0956884,-0.9417369
1.3080000,0.3163707,-0.1253851,0.1036793,-0.9345795
1.3360000,0.3507759,-0.1072188,0.1143428,-0.9232476
1.3560000,0.3749620,-0.0939112,0.1215487,-0.9142265
1.3800000,0.4035330,-0.0776164,0.1297056,-0.9023931
1.4040000,0.4315869,-0.0610189,0.1373017,-0.8894705
1.4240000,0.4545636,-0.0469947,0.1431892,-0.8778726
1.4400000,0.4726983,-0.0356935,0.1476389,-0.8680351
1.4600000,0.4949942,-0.0214993,0.1529011,-0.8550671
1.4800000,0.5168464,-0.0072297,0.1578067,-0.8413766
1.5000000,0.5382104,0.0071164,0.1623317,-0.8269990
1.5160000,0.5549661,0.0186302,0.1656613,-0.8149981
1.5400000,0.5795119,0.0359410,0.1701502,-0.7961929
1.5600000,0.5994094,0.0503760,0.1734157,-0.7798061
1.5760000,0.6149417,0.0619100,0.1757093,-0.7662507
1.5960000,0.6338911,0.0762864,0.1781664,-0.7487450
1.6120000,0.6486410,0.0877393,0.1797991,-0.7343289
1.6280000,0.6630504,0.0991301,0.1811357,-0.7195327
1.6520000,0.6840185,0.1160704,0.1825820,-0.6966420
1.6680000,0.6975610,0.1272466,0.1831677,-0.6809306
1.6840000,0.7107507,0.1383130,0.1834472,-0.6648684
1.7080000,0.7298629,0.1546754,0.1832838,-0.6401427
1.7280000,0.7451596,0.1680673,0.1826099,-0.6189864
1.7480000,0.7598419,0.1812232,0.1814400,-0.5973926
1.7720000,0.7767009,0.1966317,0.1794502,-0.5708497
1.7880000,0.7874730,0.2066580,0.1778402,-0.5527673
1.8080000,0.8003935,0.2188997,0.1755063,-0.5297647
1.8280000,0.8127071,0.2307972,0.1728085,-0.5063369
1.8440000,0.8221208,0.2400509,0.1703859,-0.4873004
1.8640000,0.8332716,0.2512927,0.1669926,-0.4632752
1.8840000,0.8437727,0.2621375,0.1632138,-0.4389680
1.9000000,0.8517372,0.2705006,0.1599384,-0.4192766
1.9200000,0.8611428,0.2805469,0.1555423,-0.3943768
1.9400000,0.8699356,0.2901224,0.1508360,-0.3691741
1.9560000,0.8765310,0.2974271,0.1468678,-0.3487984
1.9720000,0.8827368,0.3044046,0.1427330,-0.3282390
1.9920000,0.8899157,0.3126753,0.1373120,-0.3023732
2.0120000,0.8964994,0.3204100,0.1316976,-0.2761921
2.0280000,0.9013177,0.3262067,0.1270729,-0.2550845
2.0520000,0.9077916,0.3342415,0.1199488,-0.2231799
2.0680000,0.9116024,0.3391549,0.1151034,-0.2017578
2.0880000,0.9157937,0.3447950,0.1089709,-0.1748244
2.1120000,0.9199579,0.3508593,0.1015424,-0.1423531
2.1320000,0.9226861,0.3553674,0.0953678,-0.1151923
2.1480000,0.9243850,0.3586189,0.0904504,-0.0934005
2.1720000,0.9261277,0.3629093,0.0831008,-0.0606522
2.1960000,0.9269050,0.3665046,0.0757957,-0.0278660
2.2120000,0.9268880,0.3685200,0.0709631,-0.0059950
2.2320000,0.9262699,0.3706137,0.0649345,0.0212858
2.2480000,0.9253023,0.3719491,0.0601282,0.0430603
2.2640000,0.9239146,0.3729868,0.0553523,0.0647987
2.2800000,0.9221095,0.3737308,0.0506025,0.0864795
2.3040000,0.9186215,0.3743060,0.0435465,0.1188836
2.3280000,0.9141979,0.3742512,0.0365992,0.1511249
2.3440000,0.9107304,0.3738734,0.0320387,0.1725173
2.3640000,0.9058226,0.3730231,0.0264016,0.1991031
2.3800000,0.9014372,0.3720485,0.0219599,0.2202466
2.4000000,0.8953768,0.3704866,0.0165052,0.2465111
2.4240000,0.8872186,0.3682078,0.0101467,0.2777825
2.4480000,0.8781119,0.3654952,0.0039705,0.3087345
2.4640000,0.8715244,0.3634429,-0.0000566,0.3291723
2.4800000,0.8645366,0.3611940,-0.0040244,0.3494270
2.5000000,0.8552661,0.3581040,-0.0089241,0.3744353
2.5200000,0.8453823,0.3547138,-0.0137319,0.3991470
2.5400000,0.8348986,0.3510218,-0.0184546,0.4235416
2.5640000,0.8215319,0.3462006,-0.0240069,0.4523871
2.5800000,0.8121530,0.3427519,-0.0276392,0.4713436
2.5960000,0.8024073,0.3391158,-0.0312197,0.4900696
2.6160000,0.7897599,0.3342948,-0.0356606,0.5130835
2.6360000,0.7765563,0.3291874,-0.0400209,0.5357185
2.6520000,0.7656039,0.3248966,-0.0434513,0.5535385
2.6680000,0.7543127,0.3204269,-0.0468297,0.5710919
2.6880000,0.7397162,0.3145982,-0.0509740,0.5926631
2.7040000,0.7276293,0.3097538,-0.0542147,0.6096466
2.7240000,0.7120620,0.3034651,-0.0581845,0.6304690
2.7400000,0.6992655,0.2982661,-0.0613171,0.6467653
2.7680000,0.6760817,0.2889028,-0.0666980,0.6745369
2.7880000,0.6589404,0.2819801,-0.0704670,0.6937717
2.8080000,0.6413431,0.2748418,-0.0741737,0.7124881
2.8240000,0.6269495,0.2689676,-0.0770912,0.7270816
2.8440000,0.6086188,0.2614087,-0.0806768,0.7448087
2.8640000,0.5899286,0.2535935,-0.0841890,0.7619624
2.8840000,0.5708785,0.2455209,-0.0876150,0.7785505
2.9080000,0.5475318,0.2355003,-0.0915920,0.7977214
2.9280000,0.5276780,0.2268793,-0.0947873,0.8130788
2.9480000,0.5074834,0.2180128,-0.0978645,0.8278608
2.9640000,0.4910875,0.2107477,-0.1002360,0.8392683
